lat,lon,alt,date,device,os,version
40.7185935974,-74.0031661987,26.4936466217,2012-01-20 19:44:00,"iPhone4,1",5.0.1,1.0
40.7189407349,-74.0008239746,26.4936466217,2012-01-20 19:44:00,"iPhone4,1",5.0.1,1.0
40.7190437317,-74.0008087158,26.3197975159,2012-01-20 19:46:08,"iPhone4,1",5.0.1,1.0
40.7189102173,-74.0008163452,26.932346344,2012-01-20 19:50:24,"iPhone4,1",5.0.1,1.0
40.7189788818,-74.0008392334,25.0704727173,2012-01-20 19:50:24,"iPhone4,1",5.0.1,1.0
40.7168121338,-74.0061645508,30.241153717,2012-01-20 23:19:28,"iPhone4,1",5.0.1,1.0
40.7138175964,-74.010597229,25,2012-01-20 23:30:08,"iPhone4,1",5.0.1,1.0
40.6729125977,-73.9631652832,55.5799598694,2012-01-21 02:22:56,"iPhone4,1",5.0.1,1.0
40.6843185425,-73.9793624878,84.9948959351,2012-01-21 03:29:04,"iPhone4,1",5.0.1,1.0
40.6772270203,-73.9657058716,43.2857131958,2012-01-21 03:44:00,"iPhone4,1",5.0.1,1.0
40.684173584,-73.9790878296,42.9668197632,2012-01-21 06:45:20,"iPhone4,1",5.0.1,1.0
40.6772537231,-73.965713501,41.944442749,2012-01-21 07:00:16,"iPhone4,1",5.0.1,1.0
40.6833381653,-73.9774703979,41.944442749,2012-01-21 08:29:52,"iPhone4,1",5.0.1,1.0
40.6772537231,-73.965713501,41.944442749,2012-01-21 08:44:48,"iPhone4,1",5.0.1,1.0
40.6833610535,-73.9775085449,41.944442749,2012-01-21 10:12:16,"iPhone4,1",5.0.1,1.0
40.6772537231,-73.965713501,41.944442749,2012-01-21 10:27:12,"iPhone4,1",5.0.1,1.0
40.6833572388,-73.9775085449,41.944442749,2012-01-21 11:56:48,"iPhone4,1",5.0.1,1.0
40.6772537231,-73.965713501,41.944442749,2012-01-21 12:11:44,"iPhone4,1",5.0.1,1.0
40.7018737793,-73.9875411987,41,2012-01-21 14:34:40,"iPhone4,1",5.0.1,1.0
40.7121925354,-73.9938735962,31.3596916199,2012-01-21 14:36:48,"iPhone4,1",5.0.1,1.0
40.7296028137,-73.9935913086,43.125,2012-01-21 15:00:16,"iPhone4,1",5.0.1,1.0
40.7256698608,-73.9964828491,7,2012-01-21 18:35:44,"iPhone4,1",5.0.1,1.0
40.7120132446,-74.0047454834,34.6340713501,2012-01-21 18:40:00,"iPhone4,1",5.0.1,1.0
40.6958312988,-73.9841842651,91,2012-01-21 18:46:24,"iPhone4,1",5.0.1,1.0
